			LL DEFAULT	LR DEFAULT
556.	 75.7 	 C3 - 2.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
557.	 75.7 	 C3 - 2.0 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
558.	 75.7 	 C1 - 3.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
559.	 75.7 	 C2 - 2.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
560.	 75.6 	 C2 - 1.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
561.	 75.6 	 C0 - 3.5 mA	 C0 - 2.5 mA 	 (0.95 / 1.00) 
562.	 75.5 	 C3 - 2.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
563.	 75.5 	 C1 - 3.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
564.	 75.5 	 C0 - 4.5 mA	 C2 - 2.0 mA 	 (0.92 / 1.00) 
565.	 75.5 	 C2 - 4.0 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
566.	 75.4 	 C1 - 5.0 mA	 C0 - 2.0 mA 	 (0.98 / 1.00) 
567.	 75.4 	 C1 - 3.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
568.	 75.4 	 C1 - 4.5 mA	 C0 - 2.0 mA 	 (0.99 / 1.00) 
569.	 75.4 	 C1 - 3.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
570.	 75.4 	 C3 - 4.0 mA	 C2 - 1.5 mA 	 (0.97 / 1.00) 
571.	 75.4 	 C2 - 2.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
572.	 75.3 	 C2 - 4.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
573.	 75.3 	 C1 - 3.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
574.	 75.3 	 C0 - 3.5 mA	 C1 - 5.5 mA 	 (0.95 / 1.00) 
575.	 75.3 	 C1 - 5.5 mA	 C0 - 2.0 mA 	 (0.97 / 1.00) 
576.	 75.2 	 C3 - 4.5 mA	 C3 - 1.5 mA 	 (0.96 / 1.00) 
577.	 75.2 	 C0 - 3.5 mA	 C1 - 5.0 mA 	 (0.95 / 1.00) 
578.	 75.2 	 C1 - 1.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
579.	 75.2 	 C1 - 5.0 mA	 C1 - 1.5 mA 	 (0.98 / 1.00) 
580.	 75.2 	 C1 - 2.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
581.	 75.2 	 C1 - 4.5 mA	 C1 - 1.5 mA 	 (0.99 / 1.00) 
582.	 75.2 	 C0 - 2.5 mA	 C0 - 5.5 mA 	 (0.98 / 1.00) 
583.	 75.2 	 C0 - 4.0 mA	 C2 - 1.5 mA 	 (0.93 / 1.00) 
584.	 75.1 	 C3 - 2.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
585.	 75.1 	 C1 - 5.5 mA	 C1 - 1.5 mA 	 (0.97 / 1.00) 
586.	 75.1 	 C3 - 5.0 mA	 C2 - 5.5 mA 	 (0.95 / 1.00) 
587.	 75.1 	 C3 - 3.5 mA	 C0 - 1.5 mA 	 (0.98 / 1.00) 
588.	 75.1 	 C0 - 4.5 mA	 C3 - 1.5 mA 	 (0.92 / 1.00) 
589.	 75.0 	 C2 - 2.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
590.	 75.0 	 C1 - 3.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
591.	 75.0 	 C3 - 2.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
592.	 75.0 	 C2 - 3.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
593.	 75.0 	 C2 - 3.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
594.	 74.9 	 C3 - 2.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
595.	 74.9 	 C3 - 4.5 mA	 C2 - 5.0 mA 	 (0.96 / 1.00) 
596.	 74.9 	 C1 - 3.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
597.	 74.8 	 C3 - 4.5 mA	 C2 - 2.5 mA 	 (0.96 / 1.00) 
598.	 74.8 	 C3 - 3.0 mA	 C0 - 2.0 mA 	 (0.99 / 1.00) 
599.	 74.8 	 C2 - 1.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
600.	 74.8 	 C2 - 5.5 mA	 C3 - 2.5 mA 	 (0.98 / 0.99) 
601.	 74.8 	 C1 - 3.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
602.	 74.7 	 C3 - 3.5 mA	 C2 - 4.0 mA 	 (0.98 / 1.00) 
603.	 74.7 	 C3 - 4.5 mA	 C2 - 3.0 mA 	 (0.96 / 1.00) 
604.	 74.7 	 C3 - 4.0 mA	 C2 - 4.5 mA 	 (0.97 / 1.00) 
605.	 74.6 	 C0 - 2.5 mA	 C0 - 5.0 mA 	 (0.98 / 1.00) 
606.	 74.6 	 C3 - 2.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
607.	 74.6 	 C1 - 1.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
608.	 74.5 	 C3 - 3.0 mA	 C1 - 1.5 mA 	 (0.99 / 1.00) 
609.	 74.5 	 C1 - 4.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
610.	 74.5 	 C0 - 3.5 mA	 C1 - 4.5 mA 	 (0.95 / 1.00) 
611.	 74.4 	 C3 - 2.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
612.	 74.4 	 C0 - 2.5 mA	 C0 - 4.5 mA 	 (0.98 / 1.00) 
613.	 74.2 	 C2 - 3.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
614.	 74.1 	 C3 - 5.5 mA	 C3 - 2.0 mA 	 (0.94 / 1.00) 
615.	 74.1 	 C1 - 2.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
616.	 74.1 	 C2 - 4.0 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
617.	 74.1 	 C2 - 3.0 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
618.	 74.1 	 C0 - 2.5 mA	 C0 - 4.0 mA 	 (0.98 / 1.00) 
619.	 74.0 	 C2 - 1.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
620.	 74.0 	 C1 - 4.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
621.	 74.0 	 C3 - 4.0 mA	 C2 - 2.0 mA 	 (0.97 / 1.00) 
622.	 74.0 	 C3 - 2.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
623.	 73.9 	 C0 - 4.5 mA	 C2 - 3.5 mA 	 (0.92 / 1.00) 
624.	 73.9 	 C2 - 3.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
625.	 73.9 	 C0 - 5.5 mA	 C2 - 5.5 mA 	 (0.89 / 1.00) 
626.	 73.9 	 C3 - 2.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
627.	 73.9 	 C2 - 4.0 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
628.	 73.9 	 C2 - 3.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
629.	 73.8 	 C1 - 5.5 mA	 C0 - 1.5 mA 	 (0.97 / 1.00) 
630.	 73.8 	 C1 - 5.0 mA	 C0 - 1.5 mA 	 (0.98 / 1.00) 
631.	 73.8 	 C3 - 4.0 mA	 C2 - 3.5 mA 	 (0.97 / 1.00) 
632.	 73.8 	 C2 - 3.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
633.	 73.8 	 C1 - 5.0 mA	 C2 - 4.0 mA 	 (0.98 / 1.00) 
634.	 73.7 	 C1 - 2.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
635.	 73.7 	 C2 - 2.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
636.	 73.7 	 C1 - 5.5 mA	 C2 - 4.0 mA 	 (0.97 / 1.00) 
637.	 73.7 	 C1 - 4.5 mA	 C0 - 1.5 mA 	 (0.99 / 1.00) 
638.	 73.6 	 C1 - 4.5 mA	 C2 - 4.0 mA 	 (0.99 / 1.00) 
639.	 73.5 	 C3 - 4.0 mA	 C3 - 1.5 mA 	 (0.97 / 1.00) 
640.	 73.4 	 C0 - 2.0 mA	 C0 - 5.5 mA 	 (0.99 / 1.00) 
641.	 73.4 	 C2 - 4.0 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
642.	 73.4 	 C2 - 3.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
643.	 73.4 	 C3 - 3.5 mA	 C2 - 1.5 mA 	 (0.98 / 1.00) 
644.	 73.3 	 C2 - 1.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
645.	 73.3 	 C0 - 5.0 mA	 C2 - 5.5 mA 	 (0.90 / 1.00) 
646.	 73.3 	 C2 - 4.5 mA	 C3 - 2.0 mA 	 (0.99 / 1.00) 
647.	 73.3 	 C2 - 5.0 mA	 C3 - 2.5 mA 	 (0.99 / 0.99) 
648.	 73.3 	 C2 - 4.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
649.	 73.2 	 C3 - 4.5 mA	 C2 - 5.5 mA 	 (0.96 / 1.00) 
650.	 73.2 	 C2 - 2.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
651.	 73.2 	 C2 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
652.	 73.2 	 C3 - 5.0 mA	 C3 - 2.0 mA 	 (0.95 / 1.00) 
653.	 73.2 	 C1 - 3.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
654.	 73.1 	 C2 - 3.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
655.	 73.1 	 C3 - 2.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
656.	 73.1 	 C0 - 3.5 mA	 C0 - 2.0 mA 	 (0.95 / 1.00) 
657.	 73.0 	 C0 - 3.0 mA	 C0 - 3.5 mA 	 (0.97 / 1.00) 
658.	 72.9 	 C3 - 3.0 mA	 C0 - 1.5 mA 	 (0.99 / 1.00) 
659.	 72.9 	 C0 - 2.0 mA	 C0 - 5.0 mA 	 (0.99 / 1.00) 
660.	 72.9 	 C2 - 1.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
661.	 72.9 	 C2 - 2.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
662.	 72.8 	 C2 - 3.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
663.	 72.7 	 C2 - 3.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
664.	 72.7 	 C1 - 3.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
665.	 72.7 	 C0 - 4.0 mA	 C3 - 1.5 mA 	 (0.93 / 1.00) 
666.	 72.6 	 C0 - 2.0 mA	 C0 - 4.5 mA 	 (0.99 / 1.00) 
667.	 72.6 	 C3 - 4.0 mA	 C2 - 5.0 mA 	 (0.97 / 1.00) 
668.	 72.6 	 C1 - 4.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
669.	 72.5 	 C1 - 2.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
670.	 72.5 	 C1 - 5.5 mA	 C2 - 1.5 mA 	 (0.97 / 1.00) 
671.	 72.4 	 C1 - 5.0 mA	 C2 - 1.5 mA 	 (0.98 / 1.00) 
672.	 72.3 	 C2 - 1.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
673.	 72.3 	 C3 - 1.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
674.	 72.3 	 C3 - 3.5 mA	 C2 - 4.5 mA 	 (0.98 / 1.00) 
675.	 72.3 	 C0 - 2.0 mA	 C0 - 4.0 mA 	 (0.99 / 1.00) 
676.	 72.3 	 C3 - 4.0 mA	 C2 - 2.5 mA 	 (0.97 / 1.00) 
677.	 72.3 	 C2 - 2.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
678.	 72.2 	 C1 - 1.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
679.	 72.1 	 C2 - 2.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
680.	 72.1 	 C0 - 4.5 mA	 C2 - 5.0 mA 	 (0.92 / 1.00) 
681.	 72.1 	 C3 - 4.0 mA	 C2 - 3.0 mA 	 (0.97 / 1.00) 
682.	 72.0 	 C3 - 2.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
683.	 72.0 	 C2 - 2.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
684.	 72.0 	 C2 - 3.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
685.	 72.0 	 C1 - 4.5 mA	 C2 - 1.5 mA 	 (0.99 / 1.00) 
686.	 72.0 	 C1 - 3.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
687.	 72.0 	 C0 - 4.0 mA	 C2 - 4.5 mA 	 (0.93 / 1.00) 
688.	 72.0 	 C0 - 5.5 mA	 C3 - 2.0 mA 	 (0.89 / 1.00) 
689.	 71.9 	 C3 - 1.5 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
690.	 71.8 	 C1 - 4.0 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
691.	 71.8 	 C1 - 5.5 mA	 C2 - 4.5 mA 	 (0.97 / 1.00) 
692.	 71.8 	 C3 - 3.5 mA	 C3 - 1.5 mA 	 (0.98 / 1.00) 
693.	 71.8 	 C2 - 4.0 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
694.	 71.7 	 C2 - 3.5 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
695.	 71.7 	 C2 - 2.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
696.	 71.7 	 C3 - 2.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
697.	 71.7 	 C2 - 2.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
698.	 71.7 	 C1 - 5.0 mA	 C2 - 4.5 mA 	 (0.98 / 1.00) 
699.	 71.6 	 C3 - 3.5 mA	 C2 - 2.0 mA 	 (0.98 / 1.00) 
700.	 71.5 	 C2 - 5.5 mA	 C3 - 3.0 mA 	 (0.98 / 0.97) 
701.	 71.5 	 C2 - 2.0 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
702.	 71.5 	 C0 - 4.5 mA	 C2 - 2.5 mA 	 (0.92 / 1.00) 
703.	 71.5 	 C3 - 4.5 mA	 C3 - 2.0 mA 	 (0.96 / 1.00) 
704.	 71.4 	 C0 - 5.0 mA	 C3 - 2.0 mA 	 (0.90 / 1.00) 
705.	 71.4 	 C0 - 4.0 mA	 C2 - 2.0 mA 	 (0.93 / 1.00) 
706.	 71.3 	 C2 - 2.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
707.	 71.3 	 C2 - 2.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
708.	 71.2 	 C1 - 5.5 mA	 C3 - 1.5 mA 	 (0.97 / 1.00) 
709.	 71.2 	 C1 - 4.5 mA	 C2 - 4.5 mA 	 (0.99 / 1.00) 
710.	 71.2 	 C2 - 2.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
711.	 71.2 	 C0 - 1.5 mA	 C0 - 3.5 mA 	 (0.99 / 1.00) 
712.	 71.1 	 C1 - 5.5 mA	 C2 - 2.0 mA 	 (0.97 / 1.00) 
713.	 71.1 	 C3 - 3.5 mA	 C2 - 3.5 mA 	 (0.98 / 1.00) 
714.	 71.1 	 C1 - 5.0 mA	 C3 - 1.5 mA 	 (0.98 / 1.00) 
715.	 71.0 	 C2 - 1.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
716.	 71.0 	 C0 - 3.0 mA	 C1 - 3.5 mA 	 (0.97 / 1.00) 
717.	 71.0 	 C1 - 3.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
718.	 71.0 	 C1 - 3.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
719.	 70.9 	 C1 - 5.0 mA	 C2 - 2.0 mA 	 (0.98 / 1.00) 
720.	 70.9 	 C0 - 3.5 mA	 C1 - 1.5 mA 	 (0.95 / 1.00) 
721.	 70.9 	 C2 - 2.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
722.	 70.9 	 C3 - 4.0 mA	 C2 - 5.5 mA 	 (0.97 / 1.00) 
723.	 70.9 	 C1 - 5.5 mA	 C2 - 3.5 mA 	 (0.97 / 1.00) 
724.	 70.9 	 C3 - 1.5 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
725.	 70.8 	 C2 - 3.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
726.	 70.7 	 C3 - 3.0 mA	 C2 - 4.0 mA 	 (0.99 / 1.00) 
727.	 70.7 	 C3 - 5.5 mA	 C3 - 2.5 mA 	 (0.94 / 0.99) 
728.	 70.7 	 C1 - 5.0 mA	 C2 - 3.5 mA 	 (0.98 / 1.00) 
729.	 70.6 	 C1 - 4.5 mA	 C3 - 1.5 mA 	 (0.99 / 1.00) 
730.	 70.6 	 C0 - 3.0 mA	 C0 - 3.0 mA 	 (0.97 / 1.00) 
731.	 70.6 	 C0 - 4.5 mA	 C2 - 3.0 mA 	 (0.92 / 1.00) 
732.	 70.5 	 C2 - 1.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
733.	 70.4 	 C1 - 4.5 mA	 C2 - 2.0 mA 	 (0.99 / 1.00) 
734.	 70.3 	 C0 - 2.5 mA	 C0 - 3.5 mA 	 (0.98 / 1.00) 
735.	 70.3 	 C2 - 2.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
736.	 70.2 	 C1 - 4.0 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
737.	 70.2 	 C1 - 3.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
738.	 70.2 	 C3 - 3.5 mA	 C2 - 5.0 mA 	 (0.98 / 1.00) 
739.	 70.1 	 C1 - 5.5 mA	 C2 - 5.0 mA 	 (0.97 / 1.00) 
740.	 70.1 	 C1 - 4.5 mA	 C2 - 3.5 mA 	 (0.99 / 1.00) 
741.	 70.0 	 C0 - 3.5 mA	 C0 - 1.5 mA 	 (0.95 / 1.00) 
742.	 69.9 	 C1 - 5.0 mA	 C2 - 5.0 mA 	 (0.98 / 1.00) 
743.	 69.8 	 C2 - 2.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
744.	 69.8 	 C1 - 2.5 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
745.	 69.8 	 C2 - 5.0 mA	 C3 - 3.0 mA 	 (0.99 / 0.97) 
746.	 69.7 	 C0 - 3.0 mA	 C0 - 2.5 mA 	 (0.97 / 1.00) 
747.	 69.7 	 C2 - 3.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
748.	 69.6 	 C3 - 3.0 mA	 C2 - 1.5 mA 	 (0.99 / 1.00) 
749.	 69.6 	 C0 - 4.0 mA	 C2 - 3.5 mA 	 (0.93 / 1.00) 
750.	 69.6 	 C2 - 4.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
751.	 69.5 	 C3 - 5.0 mA	 C3 - 2.5 mA 	 (0.95 / 0.99) 
752.	 69.5 	 C1 - 5.5 mA	 C2 - 2.5 mA 	 (0.97 / 1.00) 
753.	 69.4 	 C3 - 4.0 mA	 C3 - 2.0 mA 	 (0.97 / 1.00) 
754.	 69.4 	 C3 - 3.5 mA	 C2 - 2.5 mA 	 (0.98 / 1.00) 
755.	 69.3 	 C2 - 2.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
756.	 69.3 	 C2 - 2.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
757.	 69.3 	 C1 - 2.0 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
758.	 69.3 	 C1 - 5.5 mA	 C2 - 3.0 mA 	 (0.97 / 1.00) 
759.	 69.2 	 C1 - 4.0 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
760.	 69.2 	 C1 - 4.5 mA	 C2 - 5.0 mA 	 (0.99 / 1.00) 
761.	 69.2 	 C1 - 4.0 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
762.	 69.2 	 C0 - 4.5 mA	 C2 - 5.5 mA 	 (0.92 / 1.00) 
763.	 69.1 	 C2 - 2.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
764.	 69.1 	 C1 - 5.0 mA	 C2 - 2.5 mA 	 (0.98 / 1.00) 
765.	 69.0 	 C3 - 3.5 mA	 C2 - 3.0 mA 	 (0.98 / 1.00) 
766.	 69.0 	 C2 - 2.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
767.	 68.9 	 C2 - 5.5 mA	 C3 - 3.5 mA 	 (0.98 / 0.96) 
768.	 68.9 	 C3 - 3.0 mA	 C3 - 1.5 mA 	 (0.99 / 1.00) 
769.	 68.9 	 C0 - 3.0 mA	 C1 - 3.0 mA 	 (0.97 / 1.00) 
770.	 68.9 	 C2 - 4.5 mA	 C3 - 2.5 mA 	 (0.99 / 0.99) 
771.	 68.9 	 C1 - 5.0 mA	 C2 - 3.0 mA 	 (0.98 / 1.00) 
772.	 68.8 	 C2 - 3.5 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
773.	 68.7 	 C1 - 3.5 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
774.	 68.6 	 C1 - 5.5 mA	 C2 - 5.5 mA 	 (0.97 / 1.00) 
775.	 68.6 	 C0 - 4.0 mA	 C2 - 5.0 mA 	 (0.93 / 1.00) 
776.	 68.6 	 C2 - 3.5 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
777.	 68.3 	 C1 - 4.5 mA	 C2 - 2.5 mA 	 (0.99 / 1.00) 
778.	 68.3 	 C3 - 3.5 mA	 C2 - 5.5 mA 	 (0.98 / 1.00) 
779.	 68.2 	 C1 - 4.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
780.	 68.2 	 C1 - 5.0 mA	 C2 - 5.5 mA 	 (0.98 / 1.00) 
781.	 68.1 	 C0 - 4.5 mA	 C3 - 2.0 mA 	 (0.92 / 1.00) 
782.	 68.1 	 C2 - 3.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
783.	 68.1 	 C3 - 3.0 mA	 C2 - 4.5 mA 	 (0.99 / 1.00) 
784.	 68.0 	 C2 - 3.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
785.	 68.0 	 C1 - 4.5 mA	 C2 - 3.0 mA 	 (0.99 / 1.00) 
786.	 68.0 	 C0 - 2.0 mA	 C0 - 3.5 mA 	 (0.99 / 1.00) 
787.	 67.8 	 C1 - 4.0 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
788.	 67.7 	 C0 - 1.5 mA	 C0 - 3.0 mA 	 (0.99 / 1.00) 
789.	 67.7 	 C3 - 2.5 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
790.	 67.6 	 C3 - 5.5 mA	 C3 - 3.0 mA 	 (0.94 / 0.97) 
791.	 67.5 	 C1 - 5.5 mA	 C3 - 2.0 mA 	 (0.97 / 1.00) 
792.	 67.5 	 C0 - 2.5 mA	 C0 - 3.0 mA 	 (0.98 / 1.00) 
793.	 67.5 	 C3 - 4.5 mA	 C3 - 2.5 mA 	 (0.96 / 0.99) 
794.	 67.5 	 C1 - 1.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
795.	 67.4 	 C1 - 4.5 mA	 C2 - 5.5 mA 	 (0.99 / 1.00) 
796.	 67.4 	 C1 - 2.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
797.	 67.3 	 C2 - 3.5 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
798.	 67.2 	 C3 - 3.5 mA	 C3 - 2.0 mA 	 (0.98 / 1.00) 
799.	 67.2 	 C3 - 1.5 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
800.	 67.2 	 C1 - 2.5 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
801.	 67.2 	 C2 - 5.5 mA	 C3 - 4.0 mA 	 (0.98 / 0.95) 
802.	 67.2 	 C3 - 3.0 mA	 C2 - 2.0 mA 	 (0.99 / 1.00) 
803.	 67.2 	 C1 - 4.0 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
804.	 67.1 	 C1 - 5.0 mA	 C3 - 2.0 mA 	 (0.98 / 1.00) 
805.	 67.1 	 C1 - 3.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
806.	 67.0 	 C2 - 5.0 mA	 C3 - 3.5 mA 	 (0.99 / 0.96) 
807.	 67.0 	 C1 - 2.0 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
808.	 67.0 	 C0 - 3.0 mA	 C1 - 5.5 mA 	 (0.97 / 1.00) 
809.	 66.9 	 C1 - 3.5 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
810.	 66.9 	 C3 - 2.5 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
811.	 66.9 	 C0 - 3.0 mA	 C1 - 2.5 mA 	 (0.97 / 1.00) 
812.	 66.8 	 C0 - 4.0 mA	 C2 - 2.5 mA 	 (0.93 / 1.00) 
813.	 66.7 	 C2 - 3.5 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
814.	 66.7 	 C3 - 2.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
815.	 66.5 	 C1 - 2.0 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
816.	 66.5 	 C0 - 3.0 mA	 C0 - 2.0 mA 	 (0.97 / 1.00) 
817.	 66.4 	 C0 - 2.5 mA	 C0 - 2.5 mA 	 (0.98 / 1.00) 
818.	 66.4 	 C1 - 4.5 mA	 C3 - 2.0 mA 	 (0.99 / 1.00) 
819.	 66.4 	 C3 - 3.0 mA	 C2 - 3.5 mA 	 (0.99 / 1.00) 
820.	 66.3 	 C3 - 5.0 mA	 C3 - 3.0 mA 	 (0.95 / 0.97) 
821.	 66.3 	 C1 - 3.0 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
822.	 66.3 	 C2 - 3.5 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
823.	 66.2 	 C1 - 1.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
824.	 66.2 	 C0 - 3.0 mA	 C1 - 5.0 mA 	 (0.97 / 1.00) 
825.	 66.2 	 C3 - 2.0 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
826.	 66.2 	 C0 - 1.5 mA	 C0 - 2.5 mA 	 (0.99 / 1.00) 
827.	 66.2 	 C0 - 3.0 mA	 C1 - 4.0 mA 	 (0.97 / 1.00) 
828.	 66.1 	 C2 - 1.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
829.	 66.1 	 C2 - 2.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
830.	 66.0 	 C3 - 2.0 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
831.	 66.0 	 C3 - 1.5 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
832.	 66.0 	 C3 - 3.0 mA	 C2 - 5.0 mA 	 (0.99 / 1.00) 
833.	 65.8 	 C1 - 4.0 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
834.	 65.8 	 C0 - 5.5 mA	 C3 - 2.5 mA 	 (0.89 / 0.99) 
